CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;55166;B;7;Azul;511;0;0
2;LC;54110;D;7;Azul;511;0;0
3;LC;23564;A;6;Azul;511;0;0
4;LC;31954;B;8;Azul;511;0;0
5;LC;118180;E;5;Azul;511;0;0
1;LC;96705;A;8;Azul;511;1;0
2;LC;118222;B;5;Azul;511;1;0
3;LC;39016;C;7;Azul;511;1;0
4;LC;118167;A;8;Azul;511;1;0
5;LC;48558;D;6;Azul;511;1;0
6;LC;86563;B;3;Azul;511;;0
7;LC;118161;C;24;Azul;511;;0
8;LC;118147;B;23;Azul;511;;0
9;LC;118118;A;9;Azul;511;;0
10;LC;118215;A;2;Azul;511;;0
11;LC;118207;D;11;Azul;511;;0
12;LC;118170;D;23;Azul;511;;0
13;LC;90165;B;15;Azul;511;;0
14;LC;118232;E;16;Azul;511;;0
15;LC;118174;C;19;Azul;511;;0
16;LC;76167;D;1;Azul;511;;0
17;LC;68624;A;30;Azul;511;;0
18;LC;96525;A;28;Azul;511;;0
19;LC;89317;E;28;Azul;511;;0
20;LC;86496;C;30;Azul;511;;0
21;LC;118256;D;17;Azul;511;;0
22;LC;118306;A;16;Azul;511;;0
23;LC;118264;E;21;Azul;511;;0
24;LC;89550;C;1;Azul;511;;0
25;LC;14169;B;14;Azul;511;;0
26;LC;118235;E;22;Azul;511;;0
27;LC;118117;C;10;Azul;511;;0
28;LC;118278;B;16;Azul;511;;0
29;LC;59976;C;30;Azul;511;;0
30;LC;23833;C;20;Azul;511;;0
31;LC;81992;D;12;Azul;511;;0
32;LC;32261;E;24;Azul;511;;0
33;LC;118260;E;15;Azul;511;;0
34;LC;118134;A;26;Azul;511;;0
35;LC;89874;A;10;Azul;511;;0
36;LC;86932;A;14;Azul;511;;0
37;LC;24785;D;28;Azul;511;;0
38;LC;118028;D;29;Azul;511;;0
39;LC;118246;B;17;Azul;511;;0
40;LC;77356;B;13;Azul;511;;0
41;LC;118276;C;16;Azul;511;;0
42;LC;118299;D;18;Azul;511;;0
43;LC;118165;C;4;Azul;511;;0
44;LC;118103;E;27;Azul;511;;0
45;LC;118192;B;25;Azul;511;;0
1;LC;31954;B;8;Amarela;512;0;0
2;LC;55166;B;7;Amarela;512;0;0
3;LC;118180;E;5;Amarela;512;0;0
4;LC;54110;D;7;Amarela;512;0;0
5;LC;23564;A;6;Amarela;512;0;0
1;LC;118222;B;5;Amarela;512;1;0
2;LC;48558;D;6;Amarela;512;1;0
3;LC;96705;A;8;Amarela;512;1;0
4;LC;39016;C;7;Amarela;512;1;0
5;LC;118167;A;8;Amarela;512;1;0
6;LC;118161;C;24;Amarela;512;;0
7;LC;86563;B;3;Amarela;512;;0
8;LC;118118;A;9;Amarela;512;;0
9;LC;118147;B;23;Amarela;512;;0
10;LC;118306;A;16;Amarela;512;;0
11;LC;118264;E;21;Amarela;512;;0
12;LC;89550;C;1;Amarela;512;;0
13;LC;14169;B;14;Amarela;512;;0
14;LC;118278;B;16;Amarela;512;;0
15;LC;59976;C;30;Amarela;512;;0
16;LC;23833;C;20;Amarela;512;;0
17;LC;118215;A;2;Amarela;512;;0
18;LC;118207;D;11;Amarela;512;;0
19;LC;118165;C;4;Amarela;512;;0
20;LC;118103;E;27;Amarela;512;;0
21;LC;118192;B;25;Amarela;512;;0
22;LC;118170;D;23;Amarela;512;;0
23;LC;90165;B;15;Amarela;512;;0
24;LC;77356;B;13;Amarela;512;;0
25;LC;118276;C;16;Amarela;512;;0
26;LC;118299;D;18;Amarela;512;;0
27;LC;81992;D;12;Amarela;512;;0
28;LC;32261;E;24;Amarela;512;;0
29;LC;118260;E;15;Amarela;512;;0
30;LC;118134;A;26;Amarela;512;;0
31;LC;89874;A;10;Amarela;512;;0
32;LC;86932;A;14;Amarela;512;;0
33;LC;24785;D;28;Amarela;512;;0
34;LC;118028;D;29;Amarela;512;;0
35;LC;118246;B;17;Amarela;512;;0
36;LC;89317;E;28;Amarela;512;;0
37;LC;86496;C;30;Amarela;512;;0
38;LC;118256;D;17;Amarela;512;;0
39;LC;118235;E;22;Amarela;512;;0
40;LC;118117;C;10;Amarela;512;;0
41;LC;68624;A;30;Amarela;512;;0
42;LC;96525;A;28;Amarela;512;;0
43;LC;118232;E;16;Amarela;512;;0
44;LC;118174;C;19;Amarela;512;;0
45;LC;76167;D;1;Amarela;512;;0
1;LC;23564;A;6;Rosa;513;0;0
2;LC;54110;D;7;Rosa;513;0;0
3;LC;31954;B;8;Rosa;513;0;0
4;LC;55166;B;7;Rosa;513;0;0
5;LC;118180;E;5;Rosa;513;0;0
1;LC;48558;D;6;Rosa;513;1;0
2;LC;39016;C;7;Rosa;513;1;0
3;LC;118167;A;8;Rosa;513;1;0
4;LC;118222;B;5;Rosa;513;1;0
5;LC;96705;A;8;Rosa;513;1;0
6;LC;118118;A;9;Rosa;513;;0
7;LC;118147;B;23;Rosa;513;;0
8;LC;86563;B;3;Rosa;513;;0
9;LC;118161;C;24;Rosa;513;;0
10;LC;77356;B;13;Rosa;513;;0
11;LC;118276;C;16;Rosa;513;;0
12;LC;118299;D;18;Rosa;513;;0
13;LC;68624;A;30;Rosa;513;;0
14;LC;96525;A;28;Rosa;513;;0
15;LC;89317;E;28;Rosa;513;;0
16;LC;86496;C;30;Rosa;513;;0
17;LC;118256;D;17;Rosa;513;;0
18;LC;24785;D;28;Rosa;513;;0
19;LC;118028;D;29;Rosa;513;;0
20;LC;118246;B;17;Rosa;513;;0
21;LC;118134;A;26;Rosa;513;;0
22;LC;89874;A;10;Rosa;513;;0
23;LC;86932;A;14;Rosa;513;;0
24;LC;118235;E;22;Rosa;513;;0
25;LC;118117;C;10;Rosa;513;;0
26;LC;118215;A;2;Rosa;513;;0
27;LC;118207;D;11;Rosa;513;;0
28;LC;118232;E;16;Rosa;513;;0
29;LC;118174;C;19;Rosa;513;;0
30;LC;76167;D;1;Rosa;513;;0
31;LC;118165;C;4;Rosa;513;;0
32;LC;118103;E;27;Rosa;513;;0
33;LC;118192;B;25;Rosa;513;;0
34;LC;81992;D;12;Rosa;513;;0
35;LC;32261;E;24;Rosa;513;;0
36;LC;118260;E;15;Rosa;513;;0
37;LC;118306;A;16;Rosa;513;;0
38;LC;118264;E;21;Rosa;513;;0
39;LC;89550;C;1;Rosa;513;;0
40;LC;14169;B;14;Rosa;513;;0
41;LC;118170;D;23;Rosa;513;;0
42;LC;90165;B;15;Rosa;513;;0
43;LC;118278;B;16;Rosa;513;;0
44;LC;59976;C;30;Rosa;513;;0
45;LC;23833;C;20;Rosa;513;;0
1;LC;118180;E;5;Branca;514;0;0
2;LC;31954;B;8;Branca;514;0;0
3;LC;55166;B;7;Branca;514;0;0
4;LC;23564;A;6;Branca;514;0;0
5;LC;54110;D;7;Branca;514;0;0
1;LC;39016;C;7;Branca;514;1;0
2;LC;96705;A;8;Branca;514;1;0
3;LC;118222;B;5;Branca;514;1;0
4;LC;48558;D;6;Branca;514;1;0
5;LC;118167;A;8;Branca;514;1;0
6;LC;118147;B;23;Branca;514;;0
7;LC;118118;A;9;Branca;514;;0
8;LC;118161;C;24;Branca;514;;0
9;LC;86563;B;3;Branca;514;;0
10;LC;118165;C;4;Branca;514;;0
11;LC;118103;E;27;Branca;514;;0
12;LC;118192;B;25;Branca;514;;0
13;LC;81992;D;12;Branca;514;;0
14;LC;32261;E;24;Branca;514;;0
15;LC;118260;E;15;Branca;514;;0
16;LC;118134;A;26;Branca;514;;0
17;LC;89874;A;10;Branca;514;;0
18;LC;86932;A;14;Branca;514;;0
19;LC;24785;D;28;Branca;514;;0
20;LC;118028;D;29;Branca;514;;0
21;LC;118246;B;17;Branca;514;;0
22;LC;118232;E;16;Branca;514;;0
23;LC;118174;C;19;Branca;514;;0
24;LC;76167;D;1;Branca;514;;0
25;LC;89317;E;28;Branca;514;;0
26;LC;86496;C;30;Branca;514;;0
27;LC;118256;D;17;Branca;514;;0
28;LC;118170;D;23;Branca;514;;0
29;LC;90165;B;15;Branca;514;;0
30;LC;118215;A;2;Branca;514;;0
31;LC;118207;D;11;Branca;514;;0
32;LC;77356;B;13;Branca;514;;0
33;LC;118276;C;16;Branca;514;;0
34;LC;118299;D;18;Branca;514;;0
35;LC;68624;A;30;Branca;514;;0
36;LC;96525;A;28;Branca;514;;0
37;LC;118235;E;22;Branca;514;;0
38;LC;118117;C;10;Branca;514;;0
39;LC;118278;B;16;Branca;514;;0
40;LC;59976;C;30;Branca;514;;0
41;LC;23833;C;20;Branca;514;;0
42;LC;118306;A;16;Branca;514;;0
43;LC;118264;E;21;Branca;514;;0
44;LC;89550;C;1;Branca;514;;0
45;LC;14169;B;14;Branca;514;;0
1;LC;31954;B;8;Laranja;521;0;0
2;LC;55166;B;7;Laranja;521;0;0
3;LC;118180;E;5;Laranja;521;0;0
4;LC;54110;D;7;Laranja;521;0;0
5;LC;23564;A;6;Laranja;521;0;0
1;LC;118222;B;5;Laranja;521;1;0
2;LC;48558;D;6;Laranja;521;1;0
3;LC;96705;A;8;Laranja;521;1;0
4;LC;39016;C;7;Laranja;521;1;0
5;LC;118167;A;8;Laranja;521;1;0
6;LC;118161;C;24;Laranja;521;;0
7;LC;86563;B;3;Laranja;521;;0
8;LC;118118;A;9;Laranja;521;;0
9;LC;118147;B;23;Laranja;521;;0
10;LC;118306;A;16;Laranja;521;;0
11;LC;118264;E;21;Laranja;521;;0
12;LC;89550;C;1;Laranja;521;;0
13;LC;14169;B;14;Laranja;521;;0
14;LC;118278;B;16;Laranja;521;;0
15;LC;59976;C;30;Laranja;521;;0
16;LC;23833;C;20;Laranja;521;;0
17;LC;118215;A;2;Laranja;521;;0
18;LC;118207;D;11;Laranja;521;;0
19;LC;118165;C;4;Laranja;521;;0
20;LC;118103;E;27;Laranja;521;;0
21;LC;118192;B;25;Laranja;521;;0
22;LC;118170;D;23;Laranja;521;;0
23;LC;90165;B;15;Laranja;521;;0
24;LC;77356;B;13;Laranja;521;;0
25;LC;118276;C;16;Laranja;521;;0
26;LC;118299;D;18;Laranja;521;;0
27;LC;81992;D;12;Laranja;521;;0
28;LC;32261;E;24;Laranja;521;;0
29;LC;118260;E;15;Laranja;521;;0
30;LC;118134;A;26;Laranja;521;;0
31;LC;89874;A;10;Laranja;521;;0
32;LC;86932;A;14;Laranja;521;;0
33;LC;24785;D;28;Laranja;521;;0
34;LC;118028;D;29;Laranja;521;;0
35;LC;118246;B;17;Laranja;521;;0
36;LC;89317;E;28;Laranja;521;;0
37;LC;86496;C;30;Laranja;521;;0
38;LC;118256;D;17;Laranja;521;;0
39;LC;118235;E;22;Laranja;521;;0
40;LC;118117;C;10;Laranja;521;;0
41;LC;68624;A;30;Laranja;521;;0
42;LC;96525;A;28;Laranja;521;;0
43;LC;118232;E;16;Laranja;521;;0
44;LC;118174;C;19;Laranja;521;;0
45;LC;76167;D;1;Laranja;521;;0
1;LC;31954;B;8;Verde;525;0;1
2;LC;55166;B;7;Verde;525;0;1
3;LC;118180;E;5;Verde;525;0;1
4;LC;54110;D;7;Verde;525;0;1
5;LC;23564;A;6;Verde;525;0;1
1;LC;118222;B;5;Verde;525;1;1
2;LC;48558;D;6;Verde;525;1;1
3;LC;96705;A;8;Verde;525;1;1
4;LC;39016;C;7;Verde;525;1;1
5;LC;118167;A;8;Verde;525;1;1
6;LC;118161;C;24;Verde;525;;1
7;LC;86563;B;3;Verde;525;;1
8;LC;118118;A;9;Verde;525;;1
9;LC;118147;B;23;Verde;525;;1
10;LC;118306;A;16;Verde;525;;1
11;LC;118264;E;21;Verde;525;;1
12;LC;89550;C;1;Verde;525;;1
13;LC;14169;B;14;Verde;525;;1
14;LC;118278;B;16;Verde;525;;1
15;LC;59976;C;30;Verde;525;;1
16;LC;23833;C;20;Verde;525;;1
17;LC;118215;A;2;Verde;525;;1
18;LC;118207;D;11;Verde;525;;1
19;LC;118165;C;4;Verde;525;;1
20;LC;118103;E;27;Verde;525;;1
21;LC;118192;B;25;Verde;525;;1
22;LC;118170;D;23;Verde;525;;1
23;LC;90165;B;15;Verde;525;;1
24;LC;77356;B;13;Verde;525;;1
25;LC;118276;C;16;Verde;525;;1
26;LC;118299;D;18;Verde;525;;1
